layer,nmi_score
0,0.3056107252932152
1,0.30379381848158143
2,0.2657990082323489
3,0.2590630241653759
4,0.1865601842597882
5,0.15429369618927258
6,0.1335904450251517
7,0.1269942042225428
8,0.0962541581571586
9,0.044380955957486805
10,0.03229916603288656
11,0.032017379550323334
12,0.10106585571991916
