layer,nmi_score
0,0.4445515851679517
1,0.4234060801975338
2,0.3740318437644766
3,0.3837826507205
4,0.30787977065876876
5,0.2328053539421241
6,0.20572779900449126
7,0.19373454498052525
8,0.12436253854046483
9,0.13511492417983215
10,0.14162231484213675
11,0.12975909439198502
12,0.2333857252876669
